time,n_array,m_array
0,0,1
0.16816816816816818,0,1
0.33633633633633636,0,1
0.5045045045045046,0,1
0.6726726726726727,0,1
0.8408408408408409,0,1
1.0090090090090091,0,1
1.1771771771771773,0,1
1.3453453453453454,0,1
1.5135135135135136,0,1
1.6816816816816818,0,1
1.84984984984985,0,1
2.0180180180180183,0,1
2.186186186186186,0,1
2.3543543543543546,0,1
2.5225225225225225,0,1
2.690690690690691,0,1
2.8588588588588593,0,1
3.027027027027027,0,1
3.1951951951951956,0,1
3.3633633633633635,0,1
3.531531531531532,0,1
3.6996996996997,0,1
3.867867867867868,0,1
4.036036036036037,0,1
4.2042042042042045,0,1
4.372372372372372,0,1
4.540540540540541,0,1
4.708708708708709,0,1
4.876876876876877,0,1
5.045045045045045,0,1
5.213213213213214,0,1
5.381381381381382,0,1
5.54954954954955,0,1
5.7177177177177185,0,1
5.8858858858858865,0,1
6.054054054054054,0,1
6.222222222222222,0,1
6.390390390390391,0,1
6.558558558558559,0,1
6.726726726726727,0,1
6.894894894894896,0,1
7.063063063063064,0,1
7.231231231231232,0,1
7.3993993993994,0,1
7.567567567567568,0,1
7.735735735735736,0,1
7.903903903903904,0,1
8.072072072072073,1,2
8.24024024024024,1,2
8.408408408408409,1,2
8.576576576576578,1,2
8.744744744744745,1,2
8.912912912912914,1,2
9.081081081081082,1,2
9.24924924924925,1,2
9.417417417417418,1,2
9.585585585585587,1,2
9.753753753753754,1,2
9.921921921921923,1,2
10.09009009009009,1,2
10.258258258258259,1,2
10.426426426426428,1,2
10.594594594594595,1,2
10.762762762762764,1,2
10.930930930930932,1,2
11.0990990990991,1,2
11.267267267267268,1,2
11.435435435435437,1,2
11.603603603603604,1,2
11.771771771771773,1,2
11.93993993993994,1,2
12.108108108108109,1,2
12.276276276276278,1,2
12.444444444444445,1,2
12.612612612612613,1,2
12.780780780780782,1,2
12.94894894894895,1,2
13.117117117117118,1,2
13.285285285285287,1,2
13.453453453453454,1,2
13.621621621621623,1,2
13.789789789789792,1,2
13.957957957957959,1,2
14.126126126126128,1,2
14.294294294294295,1,2
14.462462462462463,1,2
14.630630630630632,1,2
14.7987987987988,1,2
14.966966966966968,1,2
15.135135135135137,1,2
15.303303303303304,1,2
15.471471471471473,1,2
15.639639639639642,1,2
15.807807807807809,1,2
15.975975975975977,1,2
16.144144144144146,2,3
16.312312312312315,2,3
16.48048048048048,2,3
16.64864864864865,2,3
16.816816816816818,2,3
16.984984984984987,2,3
17.153153153153156,2,3
17.32132132132132,2,3
17.48948948948949,2,3
17.65765765765766,2,3
17.825825825825827,2,3
17.993993993993996,2,3
18.162162162162165,2,3
18.33033033033033,2,3
18.4984984984985,2,3
18.666666666666668,2,3
18.834834834834837,2,3
19.003003003003005,2,3
19.171171171171174,2,3
19.33933933933934,2,3
19.50750750750751,2,3
19.675675675675677,2,3
19.843843843843846,2,3
20.012012012012015,2,3
20.18018018018018,2,3
20.34834834834835,2,3
20.516516516516518,2,3
20.684684684684687,2,3
20.852852852852855,2,3
21.021021021021024,2,3
21.18918918918919,2,3
21.35735735735736,2,3
21.525525525525527,2,3
21.693693693693696,2,3
21.861861861861865,2,3
22.03003003003003,2,3
22.1981981981982,2,3
22.366366366366368,2,3
22.534534534534536,2,3
22.702702702702705,2,3
22.870870870870874,2,3
23.03903903903904,2,3
23.207207207207208,2,3
23.375375375375377,2,3
23.543543543543546,2,3
23.711711711711715,2,3
23.87987987987988,2,3
24.04804804804805,3,4
24.216216216216218,3,4
24.384384384384386,3,4
24.552552552552555,3,4
24.720720720720724,3,4
24.88888888888889,3,4
25.057057057057058,3,4
25.225225225225227,3,4
25.393393393393396,3,4
25.561561561561565,3,4
25.729729729729733,3,4
25.8978978978979,3,4
26.066066066066067,3,4
26.234234234234236,3,4
26.402402402402405,3,4
26.570570570570574,3,4
26.73873873873874,3,4
26.906906906906908,3,4
27.075075075075077,3,4
27.243243243243246,3,4
27.411411411411414,3,4
27.579579579579583,3,4
27.74774774774775,3,4
27.915915915915917,3,4
28.084084084084086,3,4
28.252252252252255,3,4
28.420420420420424,3,4
28.58858858858859,3,4
28.756756756756758,3,4
28.924924924924927,3,4
29.093093093093096,3,4
29.261261261261264,3,4
29.429429429429433,3,4
29.5975975975976,3,4
29.765765765765767,3,4
29.933933933933936,3,4
30.102102102102105,3,4
30.270270270270274,3,4
30.43843843843844,3,4
30.606606606606608,3,4
30.774774774774777,3,4
30.942942942942945,3,4
31.111111111111114,3,4
31.279279279279283,3,4
31.44744744744745,3,4
31.615615615615617,3,4
31.783783783783786,3,4
31.951951951951955,3,4
32.12012012012012,4,5
32.28828828828829,4,5
32.45645645645646,4,5
32.62462462462463,4,5
32.792792792792795,4,5
32.96096096096096,4,5
33.12912912912913,4,5
33.2972972972973,4,5
33.46546546546547,4,5
33.633633633633636,4,5
33.8018018018018,4,5
33.96996996996997,4,5
34.13813813813814,4,5
34.30630630630631,4,5
34.474474474474476,4,5
34.64264264264264,4,5
34.810810810810814,4,5
34.97897897897898,4,5
35.14714714714715,4,5
35.31531531531532,4,5
35.48348348348349,4,5
35.651651651651655,4,5
35.81981981981982,4,5
35.98798798798799,4,5
36.15615615615616,4,5
36.32432432432433,4,5
36.492492492492495,4,5
36.66066066066066,4,5
36.82882882882883,4,5
36.996996996997,4,5
37.16516516516517,4,5
37.333333333333336,4,5
37.5015015015015,4,5
37.66966966966967,4,5
37.83783783783784,4,5
38.00600600600601,4,5
38.174174174174176,4,5
38.34234234234235,4,5
38.510510510510514,4,5
38.67867867867868,4,5
38.84684684684685,4,5
39.01501501501502,4,5
39.18318318318319,4,5
39.351351351351354,4,5
39.51951951951952,4,5
39.68768768768769,4,5
39.85585585585586,4,5
40.02402402402403,5,6
40.192192192192195,5,6
40.36036036036036,5,6
40.52852852852853,5,6
40.6966966966967,5,6
40.86486486486487,5,6
41.033033033033036,5,6
41.2012012012012,5,6
41.36936936936937,5,6
41.53753753753754,5,6
41.70570570570571,5,6
41.873873873873876,5,6
42.04204204204205,5,6
42.210210210210214,5,6
42.37837837837838,5,6
42.54654654654655,5,6
42.71471471471472,5,6
42.88288288288289,5,6
43.051051051051054,5,6
43.21921921921922,5,6
43.38738738738739,5,6
43.55555555555556,5,6
43.72372372372373,5,6
43.891891891891895,5,6
44.06006006006006,5,6
44.22822822822823,5,6
44.3963963963964,5,6
44.56456456456457,5,6
44.732732732732735,5,6
44.90090090090091,5,6
45.06906906906907,5,6
45.23723723723724,5,6
45.40540540540541,5,6
45.573573573573576,5,6
45.74174174174175,5,6
45.90990990990991,5,6
46.07807807807808,5,6
46.24624624624625,5,6
46.414414414414416,5,6
46.58258258258259,5,6
46.750750750750754,5,6
46.91891891891892,5,6
47.08708708708709,5,6
47.25525525525526,5,6
47.42342342342343,5,6
47.591591591591595,5,6
47.75975975975976,5,6
47.92792792792793,5,6
48.0960960960961,6,7
48.26426426426427,6,7
48.432432432432435,6,7
48.60060060060061,6,7
48.76876876876877,6,7
48.93693693693694,6,7
49.10510510510511,6,7
49.273273273273276,6,7
49.44144144144145,6,7
49.60960960960961,6,7
49.77777777777778,6,7
49.94594594594595,6,7
50.114114114114116,6,7
50.28228228228229,6,7
50.450450450450454,6,7
50.61861861861862,6,7
50.78678678678679,6,7
50.95495495495496,6,7
51.12312312312313,6,7
51.291291291291294,6,7
51.45945945945947,6,7
51.62762762762763,6,7
51.7957957957958,6,7
51.96396396396397,6,7
52.132132132132135,6,7
52.30030030030031,6,7
52.46846846846847,6,7
52.63663663663664,6,7
52.80480480480481,6,7
52.972972972972975,6,7
53.14114114114115,6,7
53.30930930930931,6,7
53.47747747747748,6,7
53.64564564564565,6,7
53.813813813813816,6,7
53.98198198198199,6,7
54.150150150150154,6,7
54.31831831831832,6,7
54.48648648648649,6,7
54.65465465465466,6,7
54.82282282282283,6,7
54.990990990990994,6,7
55.15915915915917,6,7
55.32732732732733,6,7
55.4954954954955,6,7
55.66366366366367,6,7
55.831831831831835,6,7
56.00000000000001,7,8
